source,target,value
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2112 Real World Project and Professional Skills,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1100 Introduction to Computing,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1100 Introduction to Computing,CM2101 Database Systems,1
CM1101 Computing Information Systems,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1100 Introduction to Computing,CM2112 Real World Project and Professional Skills,1
CM1101 Computing Information Systems,CM2112 Real World Project and Professional Skills,1
CM1104 Object Oriented Programming,CM2112 Real World Project and Professional Skills,1
CM1100 Introduction to Computing,CM2103 Routing and Switching,1
CM1101 Computing Information Systems,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1100 Introduction to Computing,CM2110 Internet of Things,1
CM1101 Computing Information Systems,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1100 Introduction to Computing,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2101 Database Systems,1
CM1101 Computing Information Systems,CM2103 Routing and Switching,1
CM1101 Computing Information Systems,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2112 Real World Project and Professional Skills,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2112 Real World Project and Professional Skills,1
CM1102 Problem Solving And Modelling,CM2112 Real World Project and Professional Skills,1
CM1101 Computing Information Systems,CM2110 Internet of Things,1
CM1102 Problem Solving And Modelling,CM2110 Internet of Things,1
CM1101 Computing Information Systems,CM2104 Dynamic Web Development,1
CM1102 Problem Solving And Modelling,CM2104 Dynamic Web Development,1
CM1100 Introduction to Computing,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1102 Problem Solving And Modelling,CM2100 Advanced Software Design and Development,1
CM1100 Introduction to Computing,CM2112 Real World Project and Professional Skills,1
CM1101 Computing Information Systems,CM2112 Real World Project and Professional Skills,1
CM1102 Problem Solving And Modelling,CM2112 Real World Project and Professional Skills,1
CM1100 Introduction to Computing,CM2103 Routing and Switching,1
CM1101 Computing Information Systems,CM2103 Routing and Switching,1
CM1102 Problem Solving And Modelling,CM2103 Routing and Switching,1
CM1100 Introduction to Computing,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2104 Dynamic Web Development,1
CM1102 Problem Solving And Modelling,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1101 Computing Information Systems,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1101 Computing Information Systems,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2104 Dynamic Web Development,1
CM1103 Computer Systems & Networking,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1103 Computer Systems & Networking,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1103 Computer Systems & Networking,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2104 Dynamic Web Development,1
CM1102 Problem Solving And Modelling,CM2100 Advanced Software Design and Development,1
CM1102 Problem Solving And Modelling,CM2101 Database Systems,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1101 Computing Information Systems,CM2112 Real World Project and Professional Skills,1
CM1104 Object Oriented Programming,CM2112 Real World Project and Professional Skills,1
CM1101 Computing Information Systems,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1101 Computing Information Systems,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2104 Dynamic Web Development,1
CM1102 Problem Solving And Modelling,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1102 Problem Solving And Modelling,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1102 Problem Solving And Modelling,CM2112 Real World Project and Professional Skills,1
CM1104 Object Oriented Programming,CM2112 Real World Project and Professional Skills,1
CM1102 Problem Solving And Modelling,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1102 Problem Solving And Modelling,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1102 Problem Solving And Modelling,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1102 Problem Solving And Modelling,CM2100 Advanced Software Design and Development,1
CM1102 Problem Solving And Modelling,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1100 Introduction to Computing,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1100 Introduction to Computing,CM2101 Database Systems,1
CM1101 Computing Information Systems,CM2101 Database Systems,1
CM1100 Introduction to Computing,CM2112 Real World Project and Professional Skills,1
CM1101 Computing Information Systems,CM2112 Real World Project and Professional Skills,1
CM1100 Introduction to Computing,CM2103 Routing and Switching,1
CM1101 Computing Information Systems,CM2103 Routing and Switching,1
CM1100 Introduction to Computing,CM2110 Internet of Things,1
CM1101 Computing Information Systems,CM2110 Internet of Things,1
CM1100 Introduction to Computing,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM2100 Advanced Software Design and Development,CM3102 Operating Systems,1
CM2101 Database Systems,CM3102 Operating Systems,1
CM2103 Routing and Switching,CM3102 Operating Systems,1
CM2110 Internet of Things,CM3102 Operating Systems,1
CM2104 Dynamic Web Development,CM3102 Operating Systems,1
CM2100 Advanced Software Design and Development,CM3104 Computer Security and Cryptography,1
CM2101 Database Systems,CM3104 Computer Security and Cryptography,1
CM2103 Routing and Switching,CM3104 Computer Security and Cryptography,1
CM2110 Internet of Things,CM3104 Computer Security and Cryptography,1
CM2104 Dynamic Web Development,CM3104 Computer Security and Cryptography,1
CM2100 Advanced Software Design and Development,CM3105 Web Security (see comment),1
CM2101 Database Systems,CM3105 Web Security (see comment),1
CM2103 Routing and Switching,CM3105 Web Security (see comment),1
CM2110 Internet of Things,CM3105 Web Security (see comment),1
CM2104 Dynamic Web Development,CM3105 Web Security (see comment),1
CM2100 Advanced Software Design and Development,CM3108 Software Engineering And Project Management,1
CM2101 Database Systems,CM3108 Software Engineering And Project Management,1
CM2103 Routing and Switching,CM3108 Software Engineering And Project Management,1
CM2110 Internet of Things,CM3108 Software Engineering And Project Management,1
CM2104 Dynamic Web Development,CM3108 Software Engineering And Project Management,1
CM2100 Advanced Software Design and Development,CM3110 Mobile App Development,1
CM2101 Database Systems,CM3110 Mobile App Development,1
CM2103 Routing and Switching,CM3110 Mobile App Development,1
CM2110 Internet of Things,CM3110 Mobile App Development,1
CM2104 Dynamic Web Development,CM3110 Mobile App Development,1
CM2100 Advanced Software Design and Development,CM3111 Big Data Analytics (see comment),1
CM2101 Database Systems,CM3111 Big Data Analytics (see comment),1
CM2103 Routing and Switching,CM3111 Big Data Analytics (see comment),1
CM2110 Internet of Things,CM3111 Big Data Analytics (see comment),1
CM2104 Dynamic Web Development,CM3111 Big Data Analytics (see comment),1
CM2100 Advanced Software Design and Development,CM3115 C++ for Graphics (see comment),1
CM2101 Database Systems,CM3115 C++ for Graphics (see comment),1
CM2103 Routing and Switching,CM3115 C++ for Graphics (see comment),1
CM2110 Internet of Things,CM3115 C++ for Graphics (see comment),1
CM2104 Dynamic Web Development,CM3115 C++ for Graphics (see comment),1
CM2100 Advanced Software Design and Development,CM3113 Concurrent Programming,1
CM2101 Database Systems,CM3113 Concurrent Programming,1
CM2103 Routing and Switching,CM3113 Concurrent Programming,1
CM2110 Internet of Things,CM3113 Concurrent Programming,1
CM2104 Dynamic Web Development,CM3113 Concurrent Programming,1
CM2100 Advanced Software Design and Development,CM3116 Graphics Development (see comment),1
CM2101 Database Systems,CM3116 Graphics Development (see comment),1
CM2103 Routing and Switching,CM3116 Graphics Development (see comment),1
CM2110 Internet of Things,CM3116 Graphics Development (see comment),1
CM2104 Dynamic Web Development,CM3116 Graphics Development (see comment),1
CM2100 Advanced Software Design and Development,CM3038 Artificial Intellikgence for Problem Solving,1
CM2101 Database Systems,CM3038 Artificial Intellikgence for Problem Solving,1
CM2103 Routing and Switching,CM3038 Artificial Intellikgence for Problem Solving,1
CM2110 Internet of Things,CM3038 Artificial Intellikgence for Problem Solving,1
CM2104 Dynamic Web Development,CM3038 Artificial Intellikgence for Problem Solving,1
CM2100 Advanced Software Design and Development,CM3112 3D Modelling (see comment),1
CM2101 Database Systems,CM3112 3D Modelling (see comment),1
CM2103 Routing and Switching,CM3112 3D Modelling (see comment),1
CM2110 Internet of Things,CM3112 3D Modelling (see comment),1
CM2104 Dynamic Web Development,CM3112 3D Modelling (see comment),1
CM2100 Advanced Software Design and Development,CM3104 Computer Security and Cryptography,1
CM2101 Database Systems,CM3104 Computer Security and Cryptography,1
CM2103 Routing and Switching,CM3104 Computer Security and Cryptography,1
CM2110 Internet of Things,CM3104 Computer Security and Cryptography,1
CM2100 Advanced Software Design and Development,CM3108 Software Engineering And Project Management,1
CM2101 Database Systems,CM3108 Software Engineering And Project Management,1
CM2103 Routing and Switching,CM3108 Software Engineering And Project Management,1
CM2110 Internet of Things,CM3108 Software Engineering And Project Management,1
CM2100 Advanced Software Design and Development,CM3110 Mobile App Development,1
CM2101 Database Systems,CM3110 Mobile App Development,1
CM2103 Routing and Switching,CM3110 Mobile App Development,1
CM2110 Internet of Things,CM3110 Mobile App Development,1
CM2100 Advanced Software Design and Development,CM3111 Big Data Analytics (see comment),1
CM2101 Database Systems,CM3111 Big Data Analytics (see comment),1
CM2103 Routing and Switching,CM3111 Big Data Analytics (see comment),1
CM2110 Internet of Things,CM3111 Big Data Analytics (see comment),1
CM2100 Advanced Software Design and Development,CM3115 C++ for Graphics (see comment),1
CM2101 Database Systems,CM3115 C++ for Graphics (see comment),1
CM2103 Routing and Switching,CM3115 C++ for Graphics (see comment),1
CM2110 Internet of Things,CM3115 C++ for Graphics (see comment),1
CM2100 Advanced Software Design and Development,CM3113 Concurrent Programming,1
CM2101 Database Systems,CM3113 Concurrent Programming,1
CM2103 Routing and Switching,CM3113 Concurrent Programming,1
CM2110 Internet of Things,CM3113 Concurrent Programming,1
CM2100 Advanced Software Design and Development,CM3116 Graphics Development (see comment),1
CM2101 Database Systems,CM3116 Graphics Development (see comment),1
CM2103 Routing and Switching,CM3116 Graphics Development (see comment),1
CM2110 Internet of Things,CM3116 Graphics Development (see comment),1
CM2100 Advanced Software Design and Development,CM3038 Artificial Intellikgence for Problem Solving,1
CM2101 Database Systems,CM3038 Artificial Intellikgence for Problem Solving,1
CM2103 Routing and Switching,CM3038 Artificial Intellikgence for Problem Solving,1
CM2110 Internet of Things,CM3038 Artificial Intellikgence for Problem Solving,1
CM2100 Advanced Software Design and Development,CM3112 3D Modelling (see comment),1
CM2101 Database Systems,CM3112 3D Modelling (see comment),1
CM2103 Routing and Switching,CM3112 3D Modelling (see comment),1
CM2110 Internet of Things,CM3112 3D Modelling (see comment),1
CM2100 Advanced Software Design and Development,CM3102 Operating Systems,1
CM2101 Database Systems,CM3102 Operating Systems,1
CM2112 Real World Project and Professional Skills,CM3102 Operating Systems,1
CM2103 Routing and Switching,CM3102 Operating Systems,1
CM2110 Internet of Things,CM3102 Operating Systems,1
CM2100 Advanced Software Design and Development,CM3105 Web Security (see comment),1
CM2101 Database Systems,CM3105 Web Security (see comment),1
CM2112 Real World Project and Professional Skills,CM3105 Web Security (see comment),1
CM2103 Routing and Switching,CM3105 Web Security (see comment),1
CM2110 Internet of Things,CM3105 Web Security (see comment),1
CM2100 Advanced Software Design and Development,CM3108 Software Engineering And Project Management,1
CM2101 Database Systems,CM3108 Software Engineering And Project Management,1
CM2112 Real World Project and Professional Skills,CM3108 Software Engineering And Project Management,1
CM2103 Routing and Switching,CM3108 Software Engineering And Project Management,1
CM2110 Internet of Things,CM3108 Software Engineering And Project Management,1
CM2100 Advanced Software Design and Development,CM3110 Mobile App Development,1
CM2101 Database Systems,CM3110 Mobile App Development,1
CM2112 Real World Project and Professional Skills,CM3110 Mobile App Development,1
CM2103 Routing and Switching,CM3110 Mobile App Development,1
CM2110 Internet of Things,CM3110 Mobile App Development,1
CM2100 Advanced Software Design and Development,CM3111 Big Data Analytics (see comment),1
CM2101 Database Systems,CM3111 Big Data Analytics (see comment),1
CM2112 Real World Project and Professional Skills,CM3111 Big Data Analytics (see comment),1
CM2103 Routing and Switching,CM3111 Big Data Analytics (see comment),1
CM2110 Internet of Things,CM3111 Big Data Analytics (see comment),1
CM2100 Advanced Software Design and Development,CM3115 C++ for Graphics (see comment),1
CM2101 Database Systems,CM3115 C++ for Graphics (see comment),1
CM2112 Real World Project and Professional Skills,CM3115 C++ for Graphics (see comment),1
CM2103 Routing and Switching,CM3115 C++ for Graphics (see comment),1
CM2110 Internet of Things,CM3115 C++ for Graphics (see comment),1
CM2100 Advanced Software Design and Development,CM3113 Concurrent Programming,1
CM2101 Database Systems,CM3113 Concurrent Programming,1
CM2112 Real World Project and Professional Skills,CM3113 Concurrent Programming,1
CM2103 Routing and Switching,CM3113 Concurrent Programming,1
CM2110 Internet of Things,CM3113 Concurrent Programming,1
CM2100 Advanced Software Design and Development,CM3116 Graphics Development (see comment),1
CM2101 Database Systems,CM3116 Graphics Development (see comment),1
CM2112 Real World Project and Professional Skills,CM3116 Graphics Development (see comment),1
CM2103 Routing and Switching,CM3116 Graphics Development (see comment),1
CM2110 Internet of Things,CM3116 Graphics Development (see comment),1
CM2100 Advanced Software Design and Development,CM3038 Artificial Intellikgence for Problem Solving,1
CM2101 Database Systems,CM3038 Artificial Intellikgence for Problem Solving,1
CM2112 Real World Project and Professional Skills,CM3038 Artificial Intellikgence for Problem Solving,1
CM2103 Routing and Switching,CM3038 Artificial Intellikgence for Problem Solving,1
CM2110 Internet of Things,CM3038 Artificial Intellikgence for Problem Solving,1
CM2100 Advanced Software Design and Development,CM3102 Operating Systems,1
CM2101 Database Systems,CM3102 Operating Systems,1
CM2112 Real World Project and Professional Skills,CM3102 Operating Systems,1
CM2110 Internet of Things,CM3102 Operating Systems,1
CM2104 Dynamic Web Development,CM3102 Operating Systems,1
CM2100 Advanced Software Design and Development,CM3104 Computer Security and Cryptography,1
CM2101 Database Systems,CM3104 Computer Security and Cryptography,1
CM2112 Real World Project and Professional Skills,CM3104 Computer Security and Cryptography,1
CM2110 Internet of Things,CM3104 Computer Security and Cryptography,1
CM2104 Dynamic Web Development,CM3104 Computer Security and Cryptography,1
CM2100 Advanced Software Design and Development,CM3110 Mobile App Development,1
CM2101 Database Systems,CM3110 Mobile App Development,1
CM2112 Real World Project and Professional Skills,CM3110 Mobile App Development,1
CM2110 Internet of Things,CM3110 Mobile App Development,1
CM2104 Dynamic Web Development,CM3110 Mobile App Development,1
CM2100 Advanced Software Design and Development,CM3111 Big Data Analytics (see comment),1
CM2101 Database Systems,CM3111 Big Data Analytics (see comment),1
CM2112 Real World Project and Professional Skills,CM3111 Big Data Analytics (see comment),1
CM2110 Internet of Things,CM3111 Big Data Analytics (see comment),1
CM2104 Dynamic Web Development,CM3111 Big Data Analytics (see comment),1
CM2100 Advanced Software Design and Development,CM3115 C++ for Graphics (see comment),1
CM2101 Database Systems,CM3115 C++ for Graphics (see comment),1
CM2112 Real World Project and Professional Skills,CM3115 C++ for Graphics (see comment),1
CM2110 Internet of Things,CM3115 C++ for Graphics (see comment),1
CM2104 Dynamic Web Development,CM3115 C++ for Graphics (see comment),1
CM2100 Advanced Software Design and Development,CM3113 Concurrent Programming,1
CM2101 Database Systems,CM3113 Concurrent Programming,1
CM2112 Real World Project and Professional Skills,CM3113 Concurrent Programming,1
CM2110 Internet of Things,CM3113 Concurrent Programming,1
CM2104 Dynamic Web Development,CM3113 Concurrent Programming,1
CM2100 Advanced Software Design and Development,CM3116 Graphics Development (see comment),1
CM2101 Database Systems,CM3116 Graphics Development (see comment),1
CM2112 Real World Project and Professional Skills,CM3116 Graphics Development (see comment),1
CM2110 Internet of Things,CM3116 Graphics Development (see comment),1
CM2104 Dynamic Web Development,CM3116 Graphics Development (see comment),1
CM2100 Advanced Software Design and Development,CM3102 Operating Systems,1
CM2101 Database Systems,CM3102 Operating Systems,1
CM2112 Real World Project and Professional Skills,CM3102 Operating Systems,1
CM2103 Routing and Switching,CM3102 Operating Systems,1
CM2110 Internet of Things,CM3102 Operating Systems,1
CM2104 Dynamic Web Development,CM3102 Operating Systems,1
CM2100 Advanced Software Design and Development,CM3104 Computer Security and Cryptography,1
CM2101 Database Systems,CM3104 Computer Security and Cryptography,1
CM2112 Real World Project and Professional Skills,CM3104 Computer Security and Cryptography,1
CM2103 Routing and Switching,CM3104 Computer Security and Cryptography,1
CM2110 Internet of Things,CM3104 Computer Security and Cryptography,1
CM2104 Dynamic Web Development,CM3104 Computer Security and Cryptography,1
CM2100 Advanced Software Design and Development,CM3113 Concurrent Programming,1
CM2101 Database Systems,CM3113 Concurrent Programming,1
CM2112 Real World Project and Professional Skills,CM3113 Concurrent Programming,1
CM2103 Routing and Switching,CM3113 Concurrent Programming,1
CM2110 Internet of Things,CM3113 Concurrent Programming,1
CM2104 Dynamic Web Development,CM3113 Concurrent Programming,1
CM2100 Advanced Software Design and Development,CM3038 Artificial Intellikgence for Problem Solving,1
CM2101 Database Systems,CM3038 Artificial Intellikgence for Problem Solving,1
CM2112 Real World Project and Professional Skills,CM3038 Artificial Intellikgence for Problem Solving,1
CM2103 Routing and Switching,CM3038 Artificial Intellikgence for Problem Solving,1
CM2110 Internet of Things,CM3038 Artificial Intellikgence for Problem Solving,1
CM2104 Dynamic Web Development,CM3038 Artificial Intellikgence for Problem Solving,1
CM2100 Advanced Software Design and Development,CM3112 3D Modelling (see comment),1
CM2101 Database Systems,CM3112 3D Modelling (see comment),1
